market,product,source,start,end,timeliness,data_length,completeness,duplicates,mode_D
Nairobi,Barley,EAGC-RATIN,2013-05-29,2018-06-14,713.0,1843.0,0.007,4.0,1
Nairobi,Beans,EAGC-RATIN,2016-06-23,2019-10-11,229.0,2598.0,0.623,1392.0,1
Nairobi,Peas,EAGC-RATIN,2018-01-04,2019-10-11,229.0,1282.0,0.683,636.0,1
Nairobi,Rice,EAGC-RATIN,2015-12-02,2019-07-25,307.0,1521.0,0.224,189.0,1
Nairobi,Wheat,EAGC-RATIN,2018-01-16,2019-07-25,307.0,683.0,0.328,127.0,1
Nairobi,Maize,EAGC-RATIN,2018-12-13,2019-10-11,229.0,357.0,0.524,78.0,1
Nairobi,Sorghum,EAGC-RATIN,2018-09-10,2019-10-11,229.0,583.0,0.619,186.0,1
Nairobi,Millet,EAGC-RATIN,2018-09-06,2019-10-09,231.0,444.0,0.423,83.0,1
Gitega,Beans,EAGC-RATIN,2018-10-11,2019-10-16,224.0,884.0,0.777,513.0,1
Gitega,Peas,EAGC-RATIN,2018-01-04,2019-10-16,224.0,1120.0,0.646,469.0,1
Gitega,Rice,EAGC-RATIN,2013-06-17,2019-10-16,224.0,2540.0,0.163,227.0,1
Gitega,Wheat,EAGC-RATIN,2018-07-11,2019-10-16,224.0,507.0,0.404,90.0,1
Gitega,Maize,EAGC-RATIN,2018-12-12,2019-10-16,224.0,342.0,0.52,86.0,1
Gitega,Sorghum,EAGC-RATIN,2018-11-16,2019-10-16,224.0,371.0,0.52,94.0,1
Gitega,Millet,EAGC-RATIN,2019-08-06,2019-10-16,224.0,79.0,0.418,11.0,2
Arusha,Barley,EAGC-RATIN,2018-11-15,2019-05-29,364.0,277.0,0.671,81.0,1
Arusha,Beans,EAGC-RATIN,2018-02-07,2019-10-17,223.0,1558.0,0.715,940.0,1
Arusha,Peas,EAGC-RATIN,2018-01-29,2019-10-17,223.0,1222.0,0.633,595.0,1
Arusha,Rice,EAGC-RATIN,2014-08-20,2019-10-17,223.0,2626.0,0.431,741.0,1
Arusha,Wheat,EAGC-RATIN,2018-08-10,2019-10-17,223.0,597.0,0.506,163.0,1
Arusha,Maize,EAGC-RATIN,2018-02-02,2019-10-17,223.0,764.0,0.37,141.0,1
Arusha,Sorghum,EAGC-RATIN,2018-09-28,2019-10-17,223.0,681.0,0.653,296.0,1
Arusha,Millet,EAGC-RATIN,2018-09-26,2019-10-17,223.0,690.0,0.641,303.0,1
Dar es salaam,Beans,EAGC-RATIN,2018-05-17,2019-10-17,223.0,1196.0,0.708,677.0,1
Dar es salaam,Peas,EAGC-RATIN,2018-03-02,2019-10-17,223.0,624.0,0.099,29.0,2
Dar es salaam,Rice,EAGC-RATIN,2014-08-20,2019-10-17,223.0,2183.0,0.328,298.0,1
Dar es salaam,Wheat,EAGC-RATIN,2018-07-10,2019-10-17,223.0,495.0,0.325,68.0,1
Dar es salaam,Maize,EAGC-RATIN,2018-12-13,2019-10-17,223.0,334.0,0.407,58.0,1
Dar es salaam,Sorghum,EAGC-RATIN,2018-11-19,2019-10-17,223.0,355.0,0.392,63.0,1
Dar es salaam,Millet,EAGC-RATIN,2018-09-17,2019-10-17,223.0,422.0,0.36,68.0,1
Kasese,Beans,EAGC-RATIN,2018-06-19,2019-06-26,336.0,906.0,0.73,533.0,1
Kasese,Peas,EAGC-RATIN,2017-12-29,2019-06-26,336.0,583.0,0.328,73.0,1
Kasese,Rice,EAGC-RATIN,2014-12-09,2019-06-26,336.0,2033.0,0.381,372.0,1
Kasese,Maize,EAGC-RATIN,2017-08-30,2019-06-26,336.0,689.0,0.176,58.0,1
Kasese,Sorghum,EAGC-RATIN,2018-10-31,2019-06-26,336.0,266.0,0.5,64.0,1
Kasese,Millet,EAGC-RATIN,2018-09-10,2019-06-26,336.0,319.0,0.458,67.0,1
Masindi,Beans,EAGC-RATIN,2018-05-24,2019-10-17,223.0,850.0,0.585,338.0,1
Masindi,Peas,EAGC-RATIN,2017-11-02,2019-10-17,223.0,826.0,0.341,111.0,1
Masindi,Rice,EAGC-RATIN,2015-05-29,2019-10-17,223.0,1803.0,0.202,200.0,1
Masindi,Maize,EAGC-RATIN,2016-08-12,2019-10-17,223.0,1386.0,0.305,224.0,1
Masindi,Sorghum,EAGC-RATIN,2018-10-31,2019-10-17,223.0,376.0,0.42,68.0,1
Masindi,Millet,EAGC-RATIN,2018-09-19,2019-10-17,223.0,431.0,0.425,77.0,1
Eldoret,Beans,EAGC-RATIN,2015-12-09,2019-10-11,229.0,1944.0,0.368,541.0,1
Eldoret,Peas,EAGC-RATIN,2018-01-05,2019-10-11,229.0,818.0,0.484,173.0,1
Eldoret,Rice,EAGC-RATIN,2018-06-28,2019-06-25,337.0,478.0,0.469,115.0,1
Eldoret,Wheat,EAGC-RATIN,2018-07-16,2019-10-11,229.0,473.0,0.277,56.0,1
Eldoret,Maize,EAGC-RATIN,2018-12-13,2019-10-11,229.0,318.0,0.362,50.0,1
Eldoret,Sorghum,EAGC-RATIN,2018-11-26,2019-10-11,229.0,338.0,0.382,56.0,1
Eldoret,Millet,EAGC-RATIN,2018-09-13,2019-10-09,231.0,410.0,0.346,59.0,1
Mombasa,Beans,EAGC-RATIN,2018-05-11,2019-10-01,239.0,1144.0,0.712,635.0,1
Mombasa,Peas,EAGC-RATIN,2018-01-23,2019-10-01,239.0,840.0,0.461,223.0,1
Mombasa,Rice,EAGC-RATIN,2018-06-05,2019-07-25,307.0,574.0,0.5,158.0,1
Mombasa,Wheat,EAGC-RATIN,2017-05-30,2019-07-23,309.0,814.0,0.188,76.0,1
Mombasa,Maize,EAGC-RATIN,2018-12-13,2019-10-01,239.0,339.0,0.507,74.0,1
Mombasa,Sorghum,EAGC-RATIN,2018-10-29,2019-08-19,282.0,329.0,0.465,72.0,1
Mombasa,Millet,EAGC-RATIN,2018-10-31,2019-10-02,238.0,371.0,0.445,79.0,1
Juba,Beans,EAGC-RATIN,2016-11-21,2019-09-27,243.0,1320.0,0.29,279.0,1
Juba,Peas,EAGC-RATIN,2017-02-13,2019-09-27,243.0,1037.0,0.238,80.0,1
Juba,Rice,EAGC-RATIN,2018-06-28,2019-09-27,243.0,492.0,0.207,35.0,1
Juba,Wheat,EAGC-RATIN,2018-10-05,2019-09-04,266.0,355.0,0.172,20.0,1
Juba,Maize,EAGC-RATIN,2018-01-24,2019-09-27,243.0,696.0,0.264,84.0,1
Juba,Sorghum,EAGC-RATIN,2018-11-29,2019-09-27,243.0,357.0,0.339,54.0,1
Juba,Millet,EAGC-RATIN,2018-09-25,2019-09-27,243.0,385.0,0.231,34.0,1
Mbeya,Beans,EAGC-RATIN,2017-02-08,2019-06-19,343.0,1241.0,0.444,379.0,1
Mbeya,Peas,EAGC-RATIN,2017-12-22,2018-10-25,580.0,310.0,0.084,4.0,1
Mbeya,Rice,EAGC-RATIN,2017-02-06,2019-06-19,343.0,929.0,0.321,100.0,1
Mbeya,Wheat,EAGC-RATIN,2018-08-03,2019-06-19,343.0,348.0,0.356,54.0,1
Mbeya,Maize,EAGC-RATIN,2017-05-31,2019-06-19,343.0,767.0,0.151,51.0,1
Mbeya,Sorghum,EAGC-RATIN,2018-11-06,2019-06-19,343.0,242.0,0.393,46.0,1
Iringa,Beans,EAGC-RATIN,2018-08-15,2019-10-17,223.0,782.0,0.63,353.0,1
Iringa,Peas,EAGC-RATIN,2017-12-12,2019-10-17,223.0,723.0,0.22,48.0,1
