Market,Product,Country,Date,Retail (MT),Wholesale (MT),Currency
Bujumbura,Maize,Burundi,10/4/2011,0,548798,BIF
Bujumbura,Maize,Burundi,10/5/2011,0,549000,BIF
Bujumbura,Maize,Burundi,10/6/2011,0,498970,BIF
Bujumbura,Maize,Burundi,10/7/2011,0,549299,BIF
Bujumbura,Maize,Burundi,10/10/2011,0,549872,BIF
Bujumbura,Maize,Burundi,10/11/2011,0,534063,BIF
Bujumbura,Maize,Burundi,10/12/2011,0,549063,BIF
Bujumbura,Maize,Burundi,10/13/2011,0,568465,BIF
Bujumbura,Maize,Burundi,10/14/2011,0,568855,BIF
Bujumbura,Maize,Burundi,10/15/2011,0,572481,BIF
Bujumbura,Maize,Burundi,10/17/2011,0,599542,BIF
Bujumbura,Maize,Burundi,10/18/2011,0,596238,BIF
Bujumbura,Maize,Burundi,10/19/2011,0,599089,BIF
Bujumbura,Maize,Burundi,10/20/2011,0,596998,BIF
Bujumbura,Maize,Burundi,10/21/2011,0,550405,BIF
Bujumbura,Maize,Burundi,10/26/2011,0,549611,BIF
Bujumbura,Maize,Burundi,10/27/2011,0,549580,BIF
Bujumbura,Maize,Burundi,10/28/2011,0,599123,BIF
Bujumbura,Maize,Burundi,10/29/2011,0,598789,BIF
Bujumbura,Maize,Burundi,10/31/2011,0,601564,BIF
Bujumbura,Maize,Burundi,11/1/2011,0,550060,BIF

Bujumbura,Maize,Burundi,11/2/2011,0,552529,BIF
Bujumbura,Maize,Burundi,11/3/2011,0,599873,BIF
Bujumbura,Maize,Burundi,11/4/2011,0,602446,BIF
Bujumbura,Maize,Burundi,11/7/2011,0,549675,BIF
Bujumbura,Maize,Burundi,11/8/2011,0,547926,BIF
Bujumbura,Maize,Burundi,11/9/2011,0,548540,BIF
Bujumbura,Maize,Burundi,11/10/2011,0,549181,BIF
Bujumbura,Maize,Burundi,11/11/2011,0,549280,BIF
Bujumbura,Maize,Burundi,11/16/2011,0,596942,BIF
Bujumbura,Maize,Burundi,11/18/2011,0,552159,BIF
Bujumbura,Maize,Burundi,11/28/2011,0,595700,BIF
Bujumbura,Maize,Burundi,11/29/2011,0,595700,BIF
Bujumbura,Maize,Burundi,11/30/2011,0,550626,BIF
Bujumbura,Maize,Burundi,12/1/2011,0,550626,BIF
Bujumbura,Maize,Burundi,12/2/2011,0,547362,BIF
