,qc_id,hw_params
0,38,"[None, False, None, 12, False, False]"
1,41,"['add', False, 'add', 12, True, True]"
2,48,"['mul', True, 'add', 12, True, False]"
3,54,"['mul', True, None, 12, False, False]"
4,57,"['mul', False, None, 12, False, True]"
5,90,"[None, False, None, 12, True, False]"
6,133,"[None, False, None, 12, False, False]"
7,135,"['mul', True, None, 12, True, False]"
8,147,"['add', True, 'add', 12, True, False]"
9,183,"['mul', True, 'add', 12, True, True]"
10,186,"['mul', True, None, 12, False, False]"
11,188,"['add', True, None, 12, False, False]"
12,189,"[None, False, None, 12, False, False]"
13,190,"[None, False, None, 12, False, False]"
14,191,"['mul', True, None, 12, False, False]"
15,193,"['add', True, None, 12, False, False]"
16,196,"['add', False, None, 12, False, False]"
17,197,"['mul', True, None, 12, False, True]"
18,202,"[None, False, None, 12, False, False]"
19,203,"[None, False, 'add', 12, False, True]"
20,205,"['mul', True, None, 0, False, True]"
21,206,"[None, False, None, 12, True, False]"
22,207,"['mul', True, None, 12, False, False]"
23,208,"['mul', False, None, 12, False, True]"
24,209,"['add', True, None, 12, False, False]"
25,210,"[None, False, None, 12, False, False]"
26,211,"['mul', True, None, 12, False, False]"
27,212,"['add', False, None, 12, False, True]"
28,213,"[None, False, None, 12, False, False]"
29,216,"[None, False, None, 12, False, False]"
30,217,"['add', True, None, 12, False, False]"
31,218,"['add', False, None, 12, False, True]"
32,219,"[None, False, None, 12, False, False]"
33,221,"['add', False, None, 12, False, True]"
34,222,"['add', False, None, 12, False, True]"
35,223,"['add', True, None, 12, False, False]"
36,225,"[None, False, None, 12, False, False]"
37,296,"['mul', False, None, 12, False, False]"
38,335,"[None, False, None, 0, False, True]"
39,336,"['add', False, None, 12, False, True]"
40,338,"['add', False, None, 12, False, False]"
41,339,"[None, False, 'add', 12, False, True]"
42,341,"['add', False, 'mul', 12, False, True]"
43,346,"['add', True, None, 12, False, False]"
44,348,"['add', False, 'mul', 12, False, True]"
45,350,"['add', False, None, 12, False, False]"
46,351,"['add', True, None, 12, False, False]"
47,353,"['add', False, None, 12, False, True]"
48,355,"['add', False, None, 12, False, True]"
49,361,"['add', True, None, 12, False, False]"
50,362,"['add', False, None, 12, False, True]"
51,363,"[None, False, None, 12, False, False]"
52,367,"['add', False, None, 12, True, True]"
53,370,"[None, False, None, 12, False, False]"
