,qc_id,hw_params,RMSE
0,38,"[None, False, None, 12, False, False]",3.163254998955884e-12
1,41,"['add', False, 'add', 12, True, True]",6.19583552015789
2,48,"['mul', True, 'add', 12, True, False]",7.697140723776606
3,54,"['mul', True, None, 12, False, False]",3.992229452248585e-05
4,57,"['mul', False, None, 12, False, True]",0.3509004731015972
5,90,"[None, False, None, 12, True, False]",0.5437138410308794
6,133,"[None, False, None, 12, False, False]",1.2300176212369583e-06
7,135,"['mul', True, None, 12, True, False]",0.44473507963748843
8,147,"['add', True, 'add', 12, True, False]",7.830910425623573
9,183,"['mul', True, 'add', 12, True, True]",1.8169198305768492
10,186,"['mul', True, None, 12, False, False]",0.3784035170510864
11,188,"['add', True, None, 12, False, False]",0.0
12,189,"[None, False, None, 12, False, False]",0.0
13,190,"[None, False, None, 12, False, False]",0.0
14,191,"['mul', True, None, 12, False, False]",3.4839021354399082
15,193,"['add', True, None, 12, False, False]",0.0
16,196,"['add', False, None, 12, False, False]",0.0
17,197,"['mul', True, None, 12, False, True]",0.36259358496900107
18,202,"[None, False, None, 12, False, False]",0.0
19,203,"[None, False, 'add', 12, False, True]",60.688555114326114
20,205,"['mul', True, None, 0, False, True]",194.931839439273
21,206,"[None, False, None, 12, True, False]",0.0027377379717616257
22,207,"['mul', True, None, 12, False, False]",0.0
23,208,"['mul', False, None, 12, False, True]",1833.5435371121366
24,209,"['add', True, None, 12, False, False]",0.0
25,210,"[None, False, None, 12, False, False]",0.0
26,211,"['mul', True, None, 12, False, False]",0.0
27,212,"['add', False, None, 12, False, True]",0.0
28,213,"[None, False, None, 12, False, False]",0.0
29,216,"[None, False, None, 12, False, False]",0.010959950388113345
30,217,"['add', True, None, 12, False, False]",0.0
31,218,"['add', False, None, 12, False, True]",0.0
32,219,"[None, False, None, 12, False, False]",0.0
33,221,"['add', False, None, 12, False, True]",0.0
34,222,"['add', False, None, 12, False, True]",0.0
35,223,"['add', True, None, 12, False, False]",0.0
36,225,"[None, False, None, 12, False, False]",0.0
37,296,"['mul', False, None, 12, False, False]",0.8840831715291652
38,335,"[None, False, None, 0, False, True]",0.0
39,336,"['add', False, None, 12, False, True]",0.0
40,338,"['add', False, None, 12, False, False]",71.98925837035809
41,339,"[None, False, 'add', 12, False, True]",83.74418294995019
42,341,"['add', False, 'mul', 12, False, True]",72.85404162727203
43,346,"['add', True, None, 12, False, False]",0.0
44,348,"['add', False, 'mul', 12, False, True]",7130.637839970287
45,350,"['add', False, None, 12, False, False]",0.0
46,351,"['add', True, None, 12, False, False]",0.0
47,353,"['add', False, None, 12, False, True]",0.0
48,355,"['add', False, None, 12, False, True]",592.023917442884
49,361,"['add', True, None, 12, False, False]",0.0
50,362,"['add', False, None, 12, False, True]",185.22922071248686
51,363,"[None, False, None, 12, False, False]",37.79644730092272
52,367,"['add', False, None, 12, True, True]",0.0
53,370,"[None, False, None, 12, False, False]",0.0
